portfolio_store_id,portfolio_name,portfolio_city,scraped_store_id,scraped_name,scraped_city,scraped_tier,scraped_type,match_method,distance_m
CHC300L_043,CHOP LIAN HUP,"42600 KUALA LANGAT,",ChIJu5i51ImvzTERUnxQ1Bnyr_k,Chop Lian Hup,Jenjarom,Unclear,Super - Other / unclear,place_id,7.4
CHC300L_072,SKI MINI MARKET,"KLANG,",ChIJR90r4nFVzDERV1Gq18X-bBY,Kedai Serbaneka Maju 23,Taman Sungai Kapar Indah,Tier 1,Super - Generic kedai,coords≤50m,48.1
CHC300L_105,L. G MINI MARKET,KLANG,ChIJJ0RoF5StzTERfQqL9_n5Hpo,99 Speedmart 1016 - Bandar Sentosa,Klang,Tier 1,Conv - 99 Speedmart,coords≤50m,32.4
CHC300L_147,KEDAI UBAT LEN MIN,,ChIJwd7yePUBzTERmNno7XB8Cz4,Kedai Ubat Len Min,Klang,Tier 1,Conv - Generic kedai,coords≤50m,0.0
CHC300L_158,LIVINGHEALTH TAIPAN SDN. BHD.,SEMENYIH,ChIJ3c_sw1rOzTERC2ktibNx2p0,99 Speedmart 2036 Setia Ecohill,Semenyih,Tier 1,Conv - 99 Speedmart,coords≤50m,15.5
CHC300L_217,LOOK YEN ENTERPRISE,"47130 PUCHONG,",ChIJ8-E70MKzzTERzCZs3xdicGk,Mart 都捞 Multiway,Puchong,Tier 1,Super - Indie retail,coords≤50m,32.0
CHC300M_041,PASAR MINI MERDU INDAH,"KLANG,",ChIJ0flST5yszTERQ3qgoCYz9EA,Pasar Mini Merdu Indah Dua,Selangor,Tier 1,Super - Independent local,place_id,7.8
CHC300M_048,KEDAI RUNCIT M.R.,41200 KLANG,ChIJCzdD4viszTERRmJK5k-8YQI,Kedai Runcit KS,Klang,Tier 1,Super - Sundry/grocer,place_id,200.8
CHC300M_070,PUSAT PERNIAGAAN MATAHARI SDN. BHD.,,ChIJyeXN50ZLzDER1sZe66_tWP0,Eco-Shop • Taman Maju Jaya,Petaling Jaya,Unclear,Super - Other / unclear,coords≤50m,49.0
CHC300M_077,METRIK DIY ENTERPRISE,,ChIJZaqNO5RSzDERePJLDlJjdzQ,"KK Super Mart Shah Alam, Seksyen 16 (SA16)",Shah Alam,Tier 1,Conv - KK Mart,coords≤50m,41.5
CHC300M_123,MERU SUPPLY SDN. BHD.,,ChIJAz--NYZUzDERhCkG60ztrX4,Forty Nine Quick Mart,Selangor,Tier 1,Super - Indie retail,coords≤50m,38.3
