store_id,store_name,address,postal_code,city,account,district,region,lat,lng,category,annual_sales_usd,lines_per_store,fsm,sr,rating,review_count,price_level,place_id,phone,opening_hours,website,enrichment_attempted
RBA2004663,กิจการร้านค้าสวัสดิการภายใน (กฝร.),2040 ม.1 ถ.สุขุมวิท ต.สัตหีบ อ.สัตหีบ,20180,Chon Buri,Minimart,,East,12.658451,100.883264,Minimart,"35,915.39",11.5,,RBAC03,,,,,,,,
RBA2004667,ร้านวิชิต,แผงตลาดสด ต.พนัสนิคม อ.พนัสนิคม,20140,Chon Buri,Minimart,,East,13.443725,101.181386,Minimart,"3,344.40",0.17,,RBAC02,,,,,,,,
RBA2004669,ร้านกิจเจริญ,115 ต.พนัสนิคม อ.พนัสนิคม,20140,Chon Buri,SEMI WHOLESALE,,East,13.448905,101.182183,SEMI WHOLESALE,"176,198.64",0.75,,RBAC02,,,,,,,,
RBA2004671,ร้าน มหาศักดิ์สวัสดิ์,252 หมู่1 ต.บ่อทอง อ.บ่อทอง,20270,Chon Buri,Minimart,,East,13.282146,101.436785,Minimart,278.64,0.83,,RBAC02,,,,,,,,
RBA2004672,ร้านเฮงดี,179/78  ม.1 ต.ปะตง อ.สอยดาว,22180,Chon Buri,SUPERMARKET,,East,12.67593667,101.214025,SUPERMARKET,"29,985.81",9.33,,RBAC03,,,,,,,,
RBA2004674,ร้านศศิวรรณ,333/40 หมู่ 7 ต.ทุ่งสุขลา อ.ศรีราชา,20230,Chon Buri,OTHERS (VAN),,East,13.44486833,101.18007,OTHERS (VAN),"13,058.87",0.17,,RBAC02,,,,,,,,
RBA2004675,ร้านประกอบทรัพย์ 2,44 หมู่ที่ 3 ต.โคกปีบ อ.ศรีมโหสถ,25190,Chon Buri,MOM AND POP LARGE,,East,14.05591167,101.3602033,MOM AND POP LARGE,"5,456.14",2.67,,RBAC04,,,,,,,,
RBA2004676,บริษัท สี่แยกเซ็นเตอร์ จำกัด,148/1 ม.1 ต.ห้างสูง อ.หนองใหญ่,20190,Chon Buri,SEMI WHOLESALE,,East,13.261158,101.318005,SEMI WHOLESALE,"272,077.38",8.5,,RBAC02,,,,,,,,
RBA2004679,ร้านจริงใจพานิช,230 หมู่5 ต.ท่าบุญมี อ.เกาะจันทร์,20240,Chon Buri,Minimart,,East,13.38711,101.286148,Minimart,"174,192.00",0.42,,RBAC02,,,,,,,,
RBA2004680,ร้านเล็ก,334 หมู่ 1 สวนอุตสาหกรรมศรีราชา ถนนสุขาภิบาล 8 ต.บึง อ.ศรีราชา,20230,Chon Buri,OTHERS (VAN),,East,13.264185,100.934,OTHERS (VAN),"4,686.24",0.42,,RBAC02,,,,,,,,
RBA2004681,ร้านก.การค้า,40 หมู่ 1 ต.สัตหีบ,20180,Chon Buri,Minimart,,East,12.6627399,100.8972704,Minimart,"80,615.32",3.08,,RBAC03,,,,,,,,
RBA2004684,บริษัทที ที เอ็น เทรดดิ้ง จำกัด,218/7 ม.11 ต.ทุ่งสุขลา,20230,Chon Buri,SEMI WHOLESALE,,East,13.37482333,101.0119967,SEMI WHOLESALE,"18,804.23",5.17,,RBAC02,,,,,,,,
RBA2004686,บจก.อนันต์เทรดดิ้ง(2025) สาขาสะพานสี่มาบยางพร,333/33 หมู่7 ต.บ่อวิน,20230,Chon Buri,Minimart,,East,12.64168667,101.4940233,Minimart,"52,778.61",10.67,,RBAC03,,,,,,,,
RBA2004691,ร้านบุญศิริ,56 ต.หนองขาม อ.ศรีราชา,20110,Chon Buri,SEMI WHOLESALE,,East,13.059582,100.994745,SEMI WHOLESALE,"290,709.12",1.25,,RBAC02,,,,,,,,
