city,place_id,name,name_norm,address,lat,lng,types,banner,format,reckitt_target
"RECIFE, PE",,Partido Democrático Trabalhista | PDT Olinda,partido democratico trabalhista | pdt olinda,"Rua de São Bento, 55 - Carmo, Olinda",-8.0189348,-34.8524558,"point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Industrial Compressores,industrialpressores,"Avenida Olinda Dom Hélder Câmara, 412 - Santa Tereza, Olinda",-8.021184,-34.8579497,"point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Período Fértil - Atelier de Moda Autoral,periodo fertil - atelier de moda autoral,"Rua Quinze de Novembro, 164 - Varadouro, Olinda",-8.019064499999999,-34.8530457,"clothing_store,store,point_of_interest,establishment",Independente / Sem chain identificado,Loja de Roupa,EXCLUDE
"RECIFE, PE",,TVR Tecnologia,tvr tecnologia,"Rua Quinze de Novembro, 164B - Varadouro, Olinda",-8.018996599999998,-34.8530511,"electronics_store,store,point_of_interest,establishment",Independente / Sem chain identificado,Eletrônica,EXCLUDE
"RECIFE, PE",,Pernambuco Car Shopping,pernambuco car shopping,"Av. Pan Nordestina, 100 Complexo - Salgadinho, Olinda",-8.030875199999999,-34.867649,"car_dealer,store,point_of_interest,establishment",Independente / Sem chain identificado,Automotivo,EXCLUDE
"RECIFE, PE",,Manchete Multimarcas - Olinda,manchete multimarcas - olinda,"Avenida Pan Nordestina, 100 - 02 e 13 - Salgadinho, Olinda",-8.0309498,-34.8677446,"car_dealer,store,point_of_interest,establishment",Independente / Sem chain identificado,Automotivo,EXCLUDE
"RECIFE, PE",,Peixaria do jamaica,peixaria do jamaica,"Rua Monteiro Lobato, 48 - Santa Tereza, Olinda",-8.0261684,-34.8587824,"store,point_of_interest,food,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Padaria Globo,padaria globo,"Rua Felipe Camarão, 174 - Varadouro, Olinda",-8.0208282,-34.8535762,"bakery,store,point_of_interest,food,establishment",Independente / Sem chain identificado,Padaria,REVIEW
"RECIFE, PE",,LABIQUINIS,labiquinis,"Rua Rodrigues Alves, 143 - Santa Tereza, Olinda",-8.0248793,-34.85825140000001,"store,point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,AÇOUGUE BARATÃO,acougue baratao,"Rua Maurício de Nassau, 106 - Santa Tereza, Olinda",-8.025524599999999,-34.8592635,"store,point_of_interest,food,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Farmácia,farmacia,"Rua Maurício de Nassau, 106 - Santa Tereza, Olinda",-8.025478199999998,-34.8592866,"pharmacy,health,store,point_of_interest,establishment",Drogaria (indep.),Farmácia,TARGET
"RECIFE, PE",,Studio Jailma Xavier,studio jailma xavier,"Rua Santa Tereza, 178 - Santa Tereza, Olinda",-8.0249794,-34.85875579999999,"store,point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,LK Modas 01,lk modas 01,"Rua Santa Tereza, 158 - Santa Tereza, Olinda",-8.025125699999998,-34.8589857,"clothing_store,store,point_of_interest,establishment",Independente / Sem chain identificado,Loja de Roupa,EXCLUDE
"RECIFE, PE",,Mimos da Taay Ateliê,mimos da taay atelie,"Rua Monte Castelo, 107B - Santa Tereza, Olinda",-8.025354799999999,-34.859349,"store,point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Elaine Multimarcas,elaine multimarcas,"Rua Monte Castelo, 143 - Santa Tereza, Olinda",-8.0254659,-34.8595762,"store,point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Doctor Bike Olinda,doctor bike olinda,"Rua Manuel Borba, 252 - Carmo, Olinda",-8.021115199999999,-34.8509917,"bicycle_store,store,point_of_interest,establishment",Independente / Sem chain identificado,Bicicletaria,EXCLUDE
